ChEBI ID,ChEBI Name,SMILES,PubChem SID,deltag
177972,"3,4,5-trihydroxy-6-{[5,6,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl]oxy}oxane-2-carboxylic acid",O1C(OC2=C(OC3=C(C2=O)C(O)=C(O)C(O)=C3)C4=CC(OC)=C(O)C=C4)C(O)C(O)C(O)C1C(O)=O,"SID: 85377015
CID: 131835070",-9.4
191634,Neoliquiritin 2''-apioside,O(C1C(O)C(O)C(OC1OC2=CC=3OC(CC(=O)C3C=C2)C4=CC=C(O)C=C4)CO)C5OCC(O)(C5O)CO,"SID: 85390422
CID: 131752849",-9.9
186794,Haploside F,O(C1[C@@H](O)[C@H](O)C(O[C@H]1OC2=C(O)C=3OC(=C(O)C(=O)C3C(O)=C2)C4=CC(OC)=C(O)C=C4)CO)[C@@H]5OC([C@H](O)[C@H](O)C5O)C,"SID: 85385648
CID: 44260005",-10.3
197154,Sagittatoside A,O([C@@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]1OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3CC=C(C)C)C4=CC=C(OC)C=C4)C)[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO,"SID: 85395895
CID: 13916054",-10.6
188752,Diosmetin 7-O-beta-D-glucopyranoside,O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC=2C=C3OC(=CC(=O)C3=C(O)C2)C4=CC(O)=C(OC)C=C4)CO,"SID: 85387578
CID: 11016019",-9.0
187135,Embinin,O([C@@H]1[C@@H](O)[C@H](O)[C@H](OC1C=2C(O)=C3C(OC(=CC3=O)C4=CC=C(OC)C=C4)=CC2OC)CO)C5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O)C,"SID: 85385985
CID: 3085014",-10.1
179354,"5,6,7,8,3',4',5'-Heptamethoxyflavanone",O1C(CC(=O)C2=C1C(OC)=C(OC)C(OC)=C2OC)C3=CC(OC)=C(OC)C(OC)=C3,"SID: 85378379
CID: 14162684",-7.3
176101,4'-O-Methylglucoliquiritigenin,O1C(C(O)C(O)C(O)C1OC2=CC=3OC(CC(=O)C3C=C2)C4=CC=C(OC)C=C4)CO,"CID: 75614571
SID: 85375165",-9.3
196626,Agehoustin D,O1C=2C(=C(O)C(OC)=C(OC)C2OC)C(=O)C=C1C=3C(OC)=C(O)C(OC)=C(OC)C3,"SID: 85395369
CID: 13914993",-7.6
184692,Kaempferide 3-O-sulfate,S(OC1=C(OC=2C(C1=O)=C(O)C=C(O)C2)C3=CC=C(OC)C=C3)(O)(=O)=O,"SID: 85383596
CID: 14777889",-9.3
190794,"5-hydroxy-7-methoxy-3-(3-methoxyphenyl)-8-methyl-3,4-dihydro-2H-1-benzopyran-4-one",O1CC(C(=O)C2=C1C(=C(OC)C=C2O)C)C3=CC(OC)=CC=C3,"SID: 85389592
CID: 131835823",-8.5
190108,8-C-Methylquercetin 3-xyloside,O1[C@@H](OC2=C(OC=3C(C2=O)=C(O)C=C(O)C3C)C4=CC(O)=C(O)C=C4)C(O)C(O)[C@H](O)C1,"SID: 85388919
CID: 44259214",-10.5
179455,"3,5,8,3'-Tetramethoxy-6,7:4',5'-bis(methylenedioxy)flavone",O1C2=C(C(OC)=C3OCOC3=C2OC)C(=O)C(OC)=C1C4=CC=5OCOC5C(OC)=C4,"SID: 85378477
CID: 44260080",-9.0
